imdbid,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $),bechdel
tt6285944,The Banker,2020,PG-13,120 min,"Biography, Drama",7.3,"In the 1960s, two African-American entrepreneurs hire a working-class white man to pretend to be the head of their business empire while they pose as a janitor and chauffeur.",George Nolfi,/name/nm1079776/,"Anthony Mackie, 
Samuel L. Jackson, 
Nicholas Hoult, 
Nia Long","/name/nm1107001/,/name/nm0000168/,/name/nm0396558/,/name/nm0000505/",30249.0,,1
tt4555426,Darkest Hour,2017,PG-13,125 min,"Biography, Drama, War",7.4,"In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean the end of the British Empire.",Joe Wright,/name/nm0942504/,"Gary Oldman, 
Lily James, 
Kristin Scott Thomas, 
Ben Mendelsohn","/name/nm0000198/,/name/nm4141252/,/name/nm0000218/,/name/nm0578853/",206672.0,56468410.0,2
tt4648786,Harriet,2019,PG-13,125 min,"Action, Biography, Drama",6.7,"The extraordinary tale of Harriet Tubman's escape from slavery and transformation into one of America's greatest heroes, whose courage, ingenuity, and tenacity freed hundreds of slaves and changed the course of history.",Kasi Lemmons,/name/nm0501435/,"Cynthia Erivo, 
Janelle Monáe, 
Leslie Odom Jr., 
Joe Alwyn","/name/nm7248827/,/name/nm1847117/,/name/nm1502434/,/name/nm7153679/",28263.0,,3
tt3513548,Richard Jewell,2019,R,131 min,"Biography, Crime, Drama",7.5,"Security guard Richard Jewell is an instant hero after foiling a bomb attack at the 1996 Atlanta Olympics, but his life becomes a nightmare when the FBI leaks to the media that he is a suspect in the case.",Clint Eastwood,/name/nm0000142/,"Paul Walter Hauser, 
Sam Rockwell, 
Brandon Stanley, 
Ryan Boz","/name/nm3236159/,/name/nm0005377/,/name/nm10263413/,/name/nm5573623/",90600.0,,3
tt3829920,Only the Brave,2017,PG-13,134 min,"Action, Biography, Drama",7.6,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",Joseph Kosinski,/name/nm2676052/,"Josh Brolin, 
Miles Teller, 
Jeff Bridges, 
Jennifer Connelly","/name/nm0000982/,/name/nm1886602/,/name/nm0000313/,/name/nm0000124/",72037.0,18340051.0,2
tt1152836,Public Enemies,2009,R,140 min,"Action, Biography, Crime",7.0,"The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson, and Pretty Boy Floyd during a booming crime wave in the 1930s.",Michael Mann,/name/nm0000520/,"Christian Bale, 
Johnny Depp, 
Christian Stolte, 
Jason Clarke","/name/nm0000288/,/name/nm0000136/,/name/nm0831601/,/name/nm0164809/",307752.0,97104620.0,1
tt2334649,Fruitvale Station,2013,R,85 min,"Biography, Crime, Drama",7.5,"The story of Oscar Grant III, a 22-year-old Bay Area resident, who crosses paths with friends, enemies, family, and strangers on the last day of 2008.",Ryan Coogler,/name/nm3363032/,"Michael B. Jordan, 
Melonie Diaz, 
Octavia Spencer, 
Kevin Durand","/name/nm0430107/,/name/nm0246686/,/name/nm0818055/,/name/nm0243806/",83189.0,16097842.0,3
tt1212450,Lawless,2012,R,116 min,"Biography, Crime, Drama",7.2,"Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits.",John Hillcoat,/name/nm0384825/,"Tom Hardy, 
Shia LaBeouf, 
Guy Pearce, 
Jason Clarke","/name/nm0362766/,/name/nm0479471/,/name/nm0001602/,/name/nm0164809/",245524.0,37400127.0,1
tt1535109,Captain Phillips,2013,PG-13,134 min,"Action, Biography, Crime",7.8,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",Paul Greengrass,/name/nm0339030/,"Tom Hanks, 
Barkhad Abdi, 
Barkhad Abdirahman, 
Catherine Keener","/name/nm0000158/,/name/nm5831542/,/name/nm5831543/,/name/nm0001416/",468226.0,107100855.0,1
tt2980516,The Theory of Everything,2014,PG-13,123 min,"Biography, Drama, Romance",7.7,A look at the relationship between the famous physicist Stephen Hawking and his wife.,James Marsh,/name/nm1016428/,"Eddie Redmayne, 
Felicity Jones, 
Tom Prior, 
Sophie Perry","/name/nm1519666/,/name/nm0428065/,/name/nm4350114/,/name/nm6240141/",459026.0,35893537.0,3
